13,160
2,77
43,139
16,167
48,162
41,43
42,88
8,59
3,101
8,105
29,82
19,111
32,112
31,93
36,144
6,47
11,140
9,59
23,180
44,23
14,37
31,39
9,177
23,189
27,78
47,67
44,73
49,73
47,61
32,97
21,81
11,181
3,126
23,153
37,162
38,110
37,64
31,190
29,23
29,23
34,182
9,79
31,23
34,67
43,155
31,67
15,164
46,24
35,35
38,95
38,13
44,25
36,54
41,47
26,107
39,153
33,79
9,72
4,80
16,15
16,107
7,80
15,30
22,125
30,121
13,121
33,137
38,67
8,18
28,109
42,130
6,179
42,106
24,150
21,83
46,107
41,11
12,187
11,114
22,27
29,34
48,144
12,108
16,67
43,75
1,196
35,134
6,9
44,24
7,15
32,174
23,178
29,48
45,101
5,100
18,185
34,13
2,145
45,76
38,170
44,177
2,190
11,186
48,107
26,175
15,19
1,198
13,36
39,184
40,92
44,4
19,8
21,173
21,4
29,68
7,13
41,142
34,185
3,109
35,109
16,10
4,187
33,34
29,109
1,175
22,20
9,63
17,144
46,65
2,67
20,119
5,166
4,162
16,198
21,125
48,61
14,35
21,28
13,147
23,194
49,137
48,91
48,40
19,183
2,196
39,148
29,117
40,13
36,71
45,158
23,144
12,123
3,91
24,138
28,106
10,98
5,129
36,158
29,32
35,155
36,121
17,129
10,30
33,155
33,196
22,50
38,165
3,154
20,48
3,193
6,122
10,162
9,35
25,108
6,180
15,154
1,138
19,25
16,64
12,154
10,90
11,1
48,85
33,71
37,120
46,13
49,199
14,11
8,126
2,6
46,131
16,152
44,174
10,92
12,183
29,106
10,174
36,118
8,167
4,92
16,132
28,58
13,87
21,10
46,153
48,172
17,31
47,2
4,15
23,109
43,124
8,125
28,43
11,143
30,87
30,182
45,175
19,143
24,11
39,28
14,170
9,127
30,108
1,3
49,16
35,186
1,199
27,108
21,147
5,61
18,107
40,89
14,164
18,123
42,198
41,138
4,184
25,133
48,137
1,17
3,28
45,125
48,50
6,153
23,48
41,92
22,181
10,61
15,158
18,181
25,191
38,75
42,87
19,31
6,180
31,63
34,35
8,114
9,165
12,23
35,70
4,32
5,196
14,181
8,50
32,146
4,199
1,128
39,133
49,101
12,116
8,104
2,153
15,81
16,109
7,24
11,50
24,150
43,102
43,1
16,57
8,183
28,198
2,137
44,135
14,140
28,78
8,112
43,27
25,58
13,160
43,28
15,89
28,11
29,24
30,100
10,191
46,27
4,123
31,122
43,139
37,33
15,19
16,112
11,58
32,175
20,25
11,152
33,188
12,11
6,154
37,123
2,164
12,144
12,94
32,94
46,67
29,25
27,100
7,182
30,170
15,132
27,153
48,106
38,84
6,177
39,39
6,4
48,158
5,25
33,130
4,91
1,160
34,171
22,87
16,47
8,198
13,4
2,31
22,190
45,167
30,131
16,102
45,153
33,95
26,60
47,73
48,39
12,143
26,139
37,51
46,175
25,69
19,148
14,86
5,45
35,60
1,191
38,105
42,142
34,13
40,2
18,149
44,16
31,96
27,106
6,194
40,104
1,58
45,86
1,146
8,160
12,149
24,50
9,77
6,130
5,62
44,101
4,72
37,23
10,151
22,92
22,83
27,29
29,166
18,46
40,8
45,122
40,20
46,65
39,78
31,177
43,42
11,64
37,174
17,93
30,126
33,2
17,81
39,87
28,179
2,125
7,85
11,99
13,105
4,45
22,141
38,108
4,68
15,31
32,188
10,14
25,183
33,175
21,62
47,5
29,101
31,142
22,8
40,64
2,20
49,38
47,138
10,166
32,15
47,18
30,154
21,31
26,196
4,141
31,146
27,26
32,115
41,119
19,4
40,54
40,186
22,102
10,146
23,180
12,159
48,107
4,121
4,76
37,50
13,88
7,190
8,166
47,30
1,138
32,36
23,18
17,99
3,59
15,25
14,16
18,70
12,74
14,67
1,185
9,152
43,51
24,119
12,73
17,177
5,129
8,64
32,166
5,6
45,77
14,91
18,49
16,7
40,58
46,43
33,81
46,1
15,126
30,164
27,88
30,191
39,144
48,146
12,47
39,141
45,95
30,68
8,67
7,116
45,70
30,97
5,148
7,191
9,174
